id,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area
Norethisterone,1,314.42500000000007,2,4,0,57.53
bromopropylate,1,428.12000000000006,1,2,4,46.53
Pyrazon,1,221.64700000000002,1,2,1,60.91
2-Methylbutan-2-ol,1,88.14999999999998,1,0,1,20.23
p-Cresol,1,108.14,1,1,0,20.23
Ethyl formate,1,74.07900000000002,0,0,2,26.3
"N,N-Dimethylaniline",1,121.18299999999996,0,1,1,3.24
Decalin,2,138.254,0,2,0,0.0
Butanethiol ,1,90.191,1,0,2,0.0
Benzo(e)pyrene,2,252.316,0,5,0,0.0
Tetrachloroethylene,1,165.834,0,0,0,0.0
3-Pentanone,1,86.134,0,0,2,17.07
Acrylonitrile,1,53.06399999999999,0,0,0,23.79
Flumethasone,1,410.45700000000016,3,4,2,94.83
2-Hexanone,1,100.161,0,0,3,17.07
Terbumeton,1,225.296,2,1,4,71.96000000000002
3-Methylheptane,1,114.232,0,0,4,0.0
"1,2-Dibromoethane",1,187.862,0,0,1,0.0
Isoprocarb,1,193.246,1,1,2,38.33
Niridazole,1,214.206,1,2,2,88.37
Benzo(a)fluorene,2,216.283,0,4,0,0.0
2-Chloroanisole,1,142.58499999999995,0,1,1,9.23
Bromophos,1,366.0,0,1,4,27.69
Quinonamid,1,332.57000000000005,1,2,3,63.24
"P,P'-DDD",1,320.04600000000005,0,2,3,0.0
Methyl acrylate,1,86.09,0,0,1,26.3
Chloroxuron,1,290.75,1,2,3,41.57000000000001
Azobenzene,2,182.226,0,2,2,24.72
4-Isopropyltoluene,1,134.22199999999998,0,1,1,0.0
"2,6-Dichlorophenol",1,163.003,1,1,0,20.23
Sucrose,1,342.29699999999997,8,2,5,189.53
d-inositol,1,180.15599999999998,6,1,0,121.38
Dyphylline,1,254.24599999999995,2,2,3,102.28
Chloramphenicol,1,323.13200000000006,3,1,6,112.70000000000002
3-Ethyl-3-pentanol,1,116.204,1,0,3,20.23
Epitostanol,1,306.5150000000001,1,5,0,20.23
"1,2-Dibromobenzene",1,235.906,0,1,0,0.0
"2,4,6-Trichlorophenol",1,197.448,1,1,0,20.23
oryzalin,1,346.3650000000002,1,1,8,149.67999999999995
RTI 20,1,255.292,0,3,2,20.31
"2,4-Dimethyl-3-pentanone",1,114.18799999999996,0,0,2,17.07
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,1,238.287,2,1,3,75.27000000000002
gentisin,1,262.26099999999997,2,3,1,75.99000000000002
Caffeine,1,194.194,0,2,0,61.82
Spironolactone,1,416.58300000000025,0,5,1,60.44
"3,4-Dimethylphenol",1,122.167,1,1,0,20.23
Diphenyl ether ,2,170.21099999999998,0,2,2,9.23
"2,2',4,4',5,5'-PCB",1,360.88200000000006,0,2,1,0.0
nicotinamide,1,122.12699999999997,1,1,1,55.98
Thiophenol ,1,110.18099999999995,1,1,0,0.0
XMC,1,179.21900000000002,1,1,1,38.33
Chlordane,1,409.78199999999987,0,3,0,0.0
Dimethyldisulfide,1,94.204,0,0,1,0.0
Benzamide,1,121.13899999999997,1,1,1,43.09
o-Chlorobromobenzene,1,191.455,0,1,0,0.0
Monotropitoside,1,446.405,6,3,6,184.6
3-Heptanol ,1,116.20399999999998,1,0,4,20.23
RTI 15,1,268.32,1,3,1,58.12000000000001
"3,5-Dichlorophenol",1,163.003,1,1,0,20.23
1-Methylphenanthrene,1,192.261,0,3,0,0.0
2-Ethyl-1-hexanol,1,130.231,1,0,5,20.23
Diallate,1,270.225,0,0,4,20.31
Toluene ,1,92.141,0,1,0,0.0
Nitrapyrin,1,230.90900000000002,0,1,0,12.89
Cycloheptene,2,96.17299999999999,0,1,0,0.0
Thiram,1,240.444,0,0,0,6.48
Griseofulvin,1,352.77000000000015,0,3,3,71.06
1-Decanol,1,158.285,1,0,8,20.23
"3,3-Dimethylpentane",1,100.20499999999998,0,0,2,0.0
vamidothion,1,287.343,1,0,8,64.63000000000001
"2,3,4,5-Tetrachlorophenol",1,231.893,1,1,0,20.23
Butyraldehyde,1,72.107,0,0,2,17.07
dexamethasone acetate,1,434.5040000000003,2,4,3,100.9
Butane,1,58.124,0,0,1,0.0
o-Methoxyphenol,1,124.13899999999997,1,1,1,29.46
Fluoromethalone,1,376.4680000000001,2,4,1,74.6
Pentachloroethane,1,202.295,0,0,0,0.0
Diethyl phthalate ,1,222.23999999999995,0,1,4,52.60000000000001
2-Methylpropan-1-ol,1,74.12299999999998,1,0,1,20.23
Isobutylbenzene,1,134.22199999999998,0,1,2,0.0
Diiodomethane,1,267.835,0,0,0,0.0
4-Heptanol,1,116.204,1,0,4,20.23
Pentyl acetate,1,130.18699999999998,0,0,4,26.3
"2,3,5,6-Tetrachlorophenol",1,231.893,1,1,0,20.23
Propylbenzene ,1,120.19499999999996,0,1,2,0.0
"1,2-Dichlorotetrafluoroethane",1,170.92000000000004,0,0,1,0.0
2-butenal,1,70.09100000000001,0,0,1,17.07
tetramethylurea,1,116.164,0,0,0,23.550000000000004
"1,2,4,5-Tetramethylbenzene",1,134.22199999999998,0,1,0,0.0
norethindrone acetate,1,340.46300000000014,0,4,1,43.37000000000001
Ditalimfos,1,299.28800000000007,0,2,5,55.84
salicylanilide,1,213.236,2,2,2,49.33
Sulfallate,1,223.794,0,0,4,3.24
Chloroethane,1,64.515,0,0,0,0.0
Mefluidide,1,310.297,2,1,3,75.27000000000002
Piperine,1,285.343,0,3,3,38.77
cis-2-Pentene,1,70.135,0,0,1,0.0
thiofanox,1,218.322,1,0,3,50.69
Cyclooctyl-5-spirobarbituric acid,1,224.26,2,2,0,75.27
butacarb,1,263.381,1,1,1,38.33
Eriodictyol,1,288.255,4,3,1,107.22
Benzophenone,1,182.222,0,2,2,17.07
Eicosane,1,282.55599999999987,0,0,17,0.0
hydrazobenzene,2,184.24200000000002,2,2,3,24.06
2-Ethyl-1-butanol,1,102.177,1,0,3,20.23
4-hydroxypyridine,1,95.10099999999998,1,1,0,33.120000000000005
"cis 1,2-Dichloroethylene",1,96.94400000000002,0,0,0,0.0
Methylcyclopentane,1,84.162,0,1,0,0.0
4-Methyl-2-pentanol,1,102.17699999999998,1,0,2,20.23
RTI 11,1,254.289,1,3,0,55.56
"2,2-Dimethylpropanol",1,88.14999999999998,1,0,0,20.23
Triadimefon,1,293.754,0,2,4,57.01000000000001
Isocarboxazid,1,231.255,2,2,4,67.16
Propylene,1,42.081,0,0,0,0.0
Dichlorophen,1,269.127,2,2,2,40.46
Desmedipham,1,300.314,2,2,4,76.66
Anthraquinone,1,208.216,0,3,0,34.14
2-Octanol,1,130.231,1,0,5,20.23
Oxycarboxin,1,267.306,1,2,2,72.47
Butylbenzene,1,134.22199999999998,0,1,3,0.0
parabanic acid,1,114.06,2,1,0,75.27
Abate,1,466.47900000000016,0,2,10,55.38000000000001
Chlorthalidone,1,338.7720000000001,3,3,2,109.49
Isobutyl acetate,1,116.15999999999998,0,0,2,26.3
"2,2,3-Trimethylbutane",1,100.20499999999998,0,0,0,0.0
"2,3,3',4,4'6-PCB",1,395.32700000000017,0,2,1,0.0
Phthalonitrile,1,128.13399999999996,0,1,0,47.58
m-Nitrotoluene,1,137.138,0,1,1,43.14
halothane,1,197.38099999999997,0,0,0,0.0
Oxamyl,1,219.266,1,0,1,70.99999999999999
Thiometon,1,246.359,0,0,7,18.46
2-Methylbutane,1,72.15100000000001,0,0,1,0.0
Stirofos,1,365.96400000000006,0,1,5,44.76000000000001
